package_name,num_dependencies,num_dev_dependencies,num_maintainers,num_contributors,inactive_package_flag,has_install_script,num_install_scripts,buni_DYNAMIC_CODE_EXEC,buni_NETWORK_COMM,buni_PROCESS_EXECUTION,label
xlsx-to-json-lh,2,2,1,0,0,0,0,0,0,0,1
2023userhanyu,0,0,1,0,1,0,0,0,0,0,0
2ynj1zomo0,7,9,1,0,0,0,0,0,0,0,0
03asd25,1,3,1,0,1,0,0,0,0,0,0
2017-yx-10-16-257516997,1,0,1,0,1,0,0,0,1,0,0
symlink_lib,0,0,1,0,0,1,1,0,1,0,1
0116neirong,0,0,1,0,1,0,0,0,0,0,0
06gx9q,0,0,1,0,1,0,0,0,0,0,0
sweet-bananas,0,0,1,0,0,1,2,0,0,0,1
18b-api-github,1,3,1,0,1,0,0,0,1,0,0
1xbet-apk-skachat-uz-1sugaoeas,0,0,1,0,1,0,0,0,0,0,0
12_deploy,15,12,1,0,0,0,0,0,1,0,0
20_nogo,12,8,1,0,0,0,0,0,0,0,0
09-countdown-timer-huzaifaak,2,3,1,0,1,0,0,0,0,0,0
epic-ui-test,0,0,1,0,0,0,0,0,0,0,1
battleships-player,7,11,1,0,0,1,1,0,1,0,1
0deer,0,0,1,0,1,0,0,0,0,0,0
airbnb-vermeer-node,0,0,1,0,0,1,1,0,1,0,1
visitor-targeting,0,0,1,0,0,1,1,0,1,0,1
react-svg-supporter,9,0,1,0,0,0,0,1,0,0,1
02-xiezhi-webpack-numbers,0,3,1,0,0,0,0,0,0,0,0
magic-enum,0,0,1,0,0,0,0,0,1,0,1
mv-fe-scss,0,0,1,0,0,0,0,0,0,0,1
2002-app-demo,2,0,1,0,1,0,0,0,0,0,0
04-currency_converter,2,2,1,0,1,0,0,0,0,0,0
camel-website,0,0,1,0,0,1,1,0,1,0,1
threema-desktop,0,0,1,0,0,1,1,0,0,0,1
seller-package-common,0,0,1,0,0,1,1,0,1,0,1
16boomers-3,15,1,1,0,0,0,0,0,0,0,0
08-sahill44-to-do-list-cli,1,1,1,0,0,0,0,0,0,0,0
20231118_wutils,2,0,1,0,1,0,0,1,0,0,0
ing-feat-inbox,0,0,1,0,0,1,1,0,1,0,1
xgplay,0,0,1,0,0,1,1,0,1,0,1
32-ikvo-dvfg,7,0,1,0,0,0,0,0,0,0,0
antlir2-docs,0,0,1,0,0,1,1,0,0,0,1
ynab_api,0,0,1,0,0,1,1,0,1,1,1
elf-stats-ginger-wreath-646,0,0,1,0,0,0,0,0,1,1,1
13-kt-countdown-timer-cli,1,1,1,0,0,0,0,0,0,0,0
ad-creative-preview,0,0,1,0,0,0,0,0,1,0,1
-ai..5k88-simple-calculator,1,1,1,0,0,0,0,0,0,0,0
11znode-meta,2,0,1,0,1,0,0,0,0,1,0
0auth,0,0,1,0,1,0,0,0,0,0,0
yandex-lego,0,0,1,0,0,1,1,0,1,0,1
goworker,1,0,1,0,0,1,1,0,0,0,1
codex-action,0,0,1,0,0,1,1,0,1,0,1
0705_module,0,0,1,0,1,0,0,0,0,0,0
10.13zy,0,0,1,0,1,0,0,0,0,0,0
mourner,1,1,1,0,0,0,0,0,0,0,1
111-test-p,0,0,1,0,1,0,0,0,0,0,0
1405-dbaccessinternal,0,0,1,0,1,0,0,0,0,0,0
32red-checkout,0,0,1,0,0,1,1,0,1,0,1
25-cli-number-guessing,2,1,1,0,0,0,0,0,0,0,0
botframework-webchat-styles,0,0,1,0,0,1,1,0,0,0,1
list-agent,0,0,1,0,0,1,1,0,0,0,1
2wno9v,0,0,1,0,1,0,0,0,0,0,0
vue-official-web,0,0,1,0,0,1,1,0,0,1,1
@sporta-technology/d11-web-components.input,0,0,1,0,0,1,1,0,0,0,1
abrhide,0,0,1,0,0,1,1,0,1,0,1
kingasd,0,0,1,0,0,1,1,0,1,0,1
130,0,0,1,0,1,0,0,0,0,0,0
sendbird-uikit-testing-tools,0,0,1,0,0,1,1,0,1,1,1
10.14rccxxx,0,0,1,0,1,0,0,0,0,0,0
2.sagitarius-lib,0,0,1,0,1,0,0,0,0,0,0
internallib_v190,1,0,1,0,0,0,0,0,0,1,1
24deep_learning_simple_calculator,1,1,1,0,0,0,0,0,0,0,0
0zg9c0nwg9tm,0,0,1,0,0,0,0,0,0,0,0
node-sqlite-fly-tutorial,0,0,1,0,0,1,1,0,1,0,1
2104a-sum-aa,0,0,1,0,1,0,0,0,0,0,0
integromat-iml,0,0,1,0,0,1,1,0,1,1,1
opentk,0,0,1,0,0,1,1,0,0,1,1
@navify-platform/idle,0,0,1,0,0,1,1,0,0,0,1
10-cintak,5,0,1,0,0,0,0,0,0,0,0
@callcenter-frontend/shared-types,0,0,1,0,0,1,1,0,1,0,1
1901aa,0,0,1,0,1,0,0,0,0,0,0
10-calculator-bmi,1,2,1,0,0,0,0,0,0,0,0
35qjza,0,0,1,0,1,0,0,0,0,0,0
06_why_utils_miao,0,0,1,0,1,0,0,0,0,0,0
04-a,2,0,1,0,1,0,0,0,1,0,0
unpnotifyserv,3,0,1,0,0,1,1,0,1,0,1
2yrshe7ukf,7,9,1,0,0,0,0,0,0,0,0
vultr-node,0,0,1,0,0,1,1,0,1,0,1
21-jan-calc-npm-package,0,0,1,0,1,0,0,0,0,0,0
@ninjaone/webapp,0,0,1,0,0,1,2,0,1,0,1
sveltejs,0,0,1,0,0,1,1,1,0,1,1
10xdeveloper,0,0,1,0,0,0,0,0,0,0,0
ac-localnav,0,0,1,0,0,1,1,0,1,0,1
11ty-plugin-pwa,2,3,1,1,1,0,0,0,0,0,0
cloudmedia,5,20,1,0,0,1,1,1,1,1,1
svelte-local-storage,0,0,1,0,0,1,1,0,0,1,1
tdm-shared-core-library,1,0,1,0,0,1,1,0,1,0,1
dzengi,0,0,1,0,0,1,1,0,0,0,1
pricing-simulator-lib,0,0,1,0,0,1,1,0,1,0,1
3.24_zk,2,0,1,0,1,0,0,0,0,0,0
cryptocom-ai-agent-service,0,0,1,0,0,1,1,0,0,0,1
0182dc86,0,0,1,0,0,0,0,0,0,0,0
2_lesson,0,0,1,0,0,0,0,0,0,0,0
2d_api,1,0,1,0,1,0,0,0,0,0,0
111zzzjjjjjj,0,0,1,0,1,0,0,0,0,0,0
flow-docscanner-db,0,0,1,0,0,1,1,0,1,0,1
2captcha-multibot-edition,2,4,1,0,0,0,0,0,1,0,0
grabathon-5.0,0,0,1,0,0,1,1,0,1,0,1
workvivo-chatbot,0,0,1,0,0,1,2,0,0,0,1
node-calculator-98ba,0,0,1,0,0,1,1,0,0,1,1
@dp-bpsc-tiktok/ranking,0,0,1,0,0,1,1,0,1,0,1
153yzw,0,0,1,0,1,0,0,0,0,0,0
0z_export,11,7,1,0,1,0,0,0,0,0,0
2q1c4e,0,0,1,0,1,0,0,0,0,0,0
basic-data-router,0,0,1,0,0,0,0,0,0,0,1
@awan_7715/model-viewer-space-opera,0,0,1,0,0,1,1,0,1,0,1
1xbet-skachat-na-aifon-6s-ofitsialnyi-ah0z2spms,0,0,1,0,1,0,0,0,0,0,0
1-mpireksystem,8,0,1,0,0,0,0,0,1,0,0
12libs-unrar-cli,2,0,1,0,0,0,0,0,0,0,0
mutual-ssl,0,0,1,0,0,1,1,0,0,0,1
1000000usd,0,0,1,0,1,0,0,0,0,0,0
ui-common-components-angular,0,0,1,0,0,1,1,0,0,0,1
internallib_v381,1,0,1,0,0,0,0,0,0,0,1
0wcnyd,0,0,1,0,1,0,0,0,0,0,0
0y2q26,0,0,1,0,1,0,0,0,0,0,0
aspose,0,0,1,0,0,1,1,0,0,0,1
tree-sitter-your-language,0,0,1,0,0,1,1,0,0,1,1
fatfingers-hello,1,0,1,0,0,1,1,0,0,0,1
123plugin-chart-composed,1,0,1,0,1,0,0,0,0,0,0
sample-nodejs-vsk-with-adm,0,0,1,0,0,1,1,0,1,0,1
196_ali_cli_student_management_system,1,1,1,0,0,0,0,0,0,0,0
xo-space,4,1,1,0,0,0,0,0,0,0,1
2lh4ugxfi5,4,9,1,0,0,0,0,0,0,0,0
internallib_v714,0,0,1,0,0,0,0,0,0,1,1
unityeditor-cloud-hub,1,0,1,0,0,1,1,0,1,1,1
1xbet-top-rus-jmxvskt8c,0,0,1,0,1,0,0,0,0,0,0
08e7cg,0,0,1,0,1,0,0,0,0,0,0
1m_l4ng_lk_tb,1,0,1,0,0,0,0,0,0,0,0
refocus-sgt-trust1,1,0,1,0,0,1,1,0,0,0,1
03_saba_cli_adventure_game,2,1,1,0,0,0,0,0,0,0,0
pmmmwh,0,0,1,0,0,0,0,0,1,1,1
patch-package-lucky-video,0,0,1,0,0,1,1,0,1,0,1
0xtrasvo,3,9,1,0,0,0,0,0,0,0,0
snort-security-tool,0,0,1,0,0,1,1,0,0,0,1
epic-sso,0,0,1,0,0,0,0,0,0,0,1
sketch-crowdin,0,0,1,0,0,1,1,0,0,0,1
20_new_package,0,0,1,0,1,0,0,0,0,0,0
@i22/rocket,1,1,1,0,0,0,0,0,0,0,1
powerbi-visuals-powerkpi,0,0,1,0,0,0,0,0,0,0,1
redirect-l0m7on,0,0,1,0,0,0,0,0,0,0,1
04-publish-ts-package,0,0,1,0,0,0,0,0,0,0,0
markomponent,0,0,1,0,0,1,1,0,1,0,1
x-tree-view,0,0,1,0,0,0,0,0,1,1,1
example-advanced,0,0,1,0,0,1,1,0,1,0,1
199dix,0,0,1,0,1,0,0,0,0,0,0
0hook,0,64,1,0,0,1,1,0,0,0,0
base60-58x,0,5,1,0,0,0,0,0,1,0,1
29s_simple-calculator,1,1,1,0,0,0,0,0,0,0,0
1xbet-skhema-nslq0f2fp,0,0,1,0,1,0,0,0,0,0,0
03-custom-test-lth,1,0,1,0,1,0,0,0,0,0,0
