package_name,num_dependencies,num_dev_dependencies,has_scripts,description_length,repository_exists,license_exists,num_js_files,package_name_length,has_bin,has_install_script,num_install_scripts,num_maintainers,many_maintainers_flag,num_contributors,maintainer_to_contributor_ratio,days_since_last_update,inactive_package_flag,label
7702-eoa-implementation@1.0.0,0,0,1,18,0,1,1,23,0,1,1,1,0,0,1.0,0,0,1
phone-mockup-react-js@1.0.0,0,0,1,39,1,1,1,21,0,0,0,1,0,0,1.0,0,0,1
devops-challenge@99.99.990,0,0,1,0,1,1,1,16,0,1,1,1,0,0,1.0,0,0,1
hoodle-plugins-manager@0.5.0,9,6,1,58,1,1,20,22,0,1,1,1,0,0,1.0,0,0,1
vault-action@2.0.4,0,0,1,0,0,1,0,12,0,1,1,1,0,0,1.0,0,0,1
shmam-test-pear@4.0.0,4,0,1,0,0,1,0,15,0,0,0,1,0,0,1.0,0,0,1
shmam-test-pear@2.0.0,0,0,1,0,0,1,0,15,0,0,0,1,0,0,1.0,0,0,1
shmam-test-pear@3.0.0,1,0,1,0,0,1,0,15,0,0,0,1,0,0,1.0,0,0,1
linear-open-issue@9.9.1,0,0,1,0,0,1,1,17,0,0,0,1,0,0,1.0,0,0,1
moonpay-sign@0.2.0,0,0,1,0,0,1,1,12,0,1,1,1,0,0,1.0,0,0,1
eslint-config-zoo@999.0.0,0,0,1,0,0,1,1,17,0,1,1,1,0,0,1.0,0,0,1
safe-react-components@1.1.0,0,0,1,0,0,1,1,21,0,1,1,1,0,0,1.0,0,0,1
va-report-components@191.2.1,2,0,1,0,0,1,1,20,0,1,2,1,0,0,1.0,0,0,1
amdocs-auth-package@1.0.0,0,0,1,0,0,1,1,19,0,1,1,1,0,0,1.0,0,0,1
amdocs-auth-package@1.0.1,0,0,1,0,0,1,0,19,0,0,0,1,0,0,1.0,0,0,1
elf-stats-shimmering-workbench-301@1.0.0,0,0,1,49,0,1,1,34,0,1,1,1,0,0,1.0,0,0,1
widgets-appointmentsmastercatalogtool@9.9.9,0,0,1,66,0,1,1,37,0,1,1,1,0,0,1.0,0,0,1
fdc3-web-monorepo@2.1.0,3,3,1,283,1,1,1,17,0,1,1,1,0,0,1.0,0,0,1
mangadex-archive-torrent-processor@5.4.9,0,0,1,0,0,1,1,34,0,1,1,1,0,0,1.0,0,0,1
gca-package2@1.0.1,0,0,1,20,0,1,3,12,0,1,1,1,0,0,1.0,0,0,1
typescript-5.5@99.0.9,0,0,1,134,0,1,0,14,0,1,1,1,0,0,1.0,0,0,1
homeappserver@2.2.2,0,0,1,0,0,1,0,13,0,1,1,1,0,0,1.0,0,0,1
elf-stats-mulled-drum-529@2.2.1,0,0,1,18,0,0,1,25,0,1,1,1,0,0,1.0,0,0,1
testing-in-reise@5.2.0,0,0,1,24,0,1,1,16,0,1,1,1,0,0,1.0,0,0,1
everestsystems-content-core@1.0.0,0,0,1,28,0,1,1,27,0,1,1,1,0,0,1.0,0,0,1
ultimatepower@10.9.1,0,0,1,0,0,1,1,13,0,1,1,1,0,0,1.0,0,0,1
supply-chain-planner@0.1.3,1,0,1,0,0,1,0,20,0,1,1,1,0,0,1.0,0,0,1
pokedex-vue3@1.0.0,0,0,1,0,0,1,1,12,0,1,1,1,0,0,1.0,0,0,1
user_oidc@8.0.0,0,0,1,0,0,1,0,9,0,1,1,1,0,0,1.0,0,0,1
user_oidc@8.0.5,0,0,1,0,0,1,1,9,0,1,2,1,0,0,1.0,0,0,1
eslint-9@99.0.9,0,0,1,134,0,1,0,8,0,1,1,1,0,0,1.0,0,0,1
pb-node-modules@99.3.1,0,0,1,48,0,1,1,15,0,1,1,1,0,0,1.0,0,0,1
uid2-ssportal@1.0.0,0,0,1,0,0,1,1,13,0,1,1,1,0,0,1.0,0,0,1
uid2-ssportal@1.0.1,1,0,1,0,0,1,0,13,0,0,0,1,0,0,1.0,0,0,1
lido-on-ethereum@2.0.0,0,0,1,0,0,1,1,16,0,1,1,1,0,0,1.0,0,0,1
mgzfakee@1.0.0,0,0,1,16,0,1,1,8,0,1,1,1,0,0,1.0,0,0,1
phantom-labs-sandbox@999.0.0,0,0,1,38,0,1,1,20,0,1,1,1,0,0,1.0,0,0,1
custom-serverless-plugin@9.0.1,0,0,1,0,0,1,1,24,0,1,1,1,0,0,1.0,0,0,1
xo-beaver@88.8.9,1,1,1,3,0,1,1,9,0,0,0,1,0,0,1.0,0,0,1
dep-validator-cli@7.2.3,0,0,1,0,0,1,1,17,0,1,1,1,0,0,1.0,0,0,1
vault-wallet-toolkit@1.2.1,0,0,1,35,0,0,2,20,0,1,1,1,0,0,1.0,0,0,1
test-hahahaha-rce1@9.9.9,0,0,1,0,0,1,1,18,0,1,1,1,0,0,1.0,0,0,1
@roku-web-ui/modal@99.9.7,0,0,1,5,0,1,1,18,0,1,1,1,0,0,1.0,0,0,1
tailwindcss-setfavicon@1.17.6,12,14,1,29,1,1,9,22,0,0,0,1,0,0,1.0,0,0,1
epic-ue-header-footer@1.0.0,0,0,1,0,0,1,0,21,0,0,0,1,0,0,1.0,0,0,1
login-oauth@13.3.7,0,0,1,3,0,1,1,11,0,1,1,1,0,0,1.0,0,0,1
nmp-frontend-libraries@1.0.0,0,0,1,11,0,1,1,22,0,1,1,1,0,0,1.0,0,0,1
wide-lib@1.0.0,0,0,1,43,0,1,1,8,0,1,1,1,0,0,1.0,0,0,1
vite-plugin-morgan@1.10.1,6,11,1,42,1,1,1,18,0,0,0,1,0,0,1.0,0,0,1
ninjaleetpkg1@1.0.0,0,0,1,17,0,1,1,13,0,1,2,1,0,0,1.0,0,0,1
@tsign/tsign-ui-doesnt-exisit@19.18.1337,0,0,1,3,0,1,1,29,0,1,1,1,0,0,1.0,0,0,1
pwnxmljs2@0.30.1,0,0,1,49,0,1,1,9,0,0,0,1,0,0,1.0,0,0,1
transport@0.0.1,0,0,0,0,0,0,122,9,0,0,0,1,0,0,1.0,0,0,1
twilio-realtime@1.0.0,0,0,1,0,0,1,0,15,0,1,1,1,0,0,1.0,0,0,1
brunch-with-ember-reloaded@1.2.0,0,0,1,0,0,0,0,26,0,1,1,1,0,0,1.0,0,0,1
test-utils-bundle@5.3.7,0,0,1,0,0,1,1,17,0,1,1,1,0,0,1.0,0,0,1
internal-test-utils-test@10.0.1,0,0,1,46,0,1,0,24,0,1,1,1,0,0,1.0,0,0,1
seller-webchat-service@9.4.9,0,0,1,0,0,1,1,22,0,1,1,1,0,0,1.0,0,0,1
hackbron@1.0.3,0,0,1,0,0,0,1,8,0,1,1,1,0,0,1.0,0,0,1
node-polyfill-webpack-plugins@99.11.18,0,0,1,0,0,1,1,29,0,1,1,1,0,0,1.0,0,0,1
npmrcetest@1.0.0,0,0,1,23,0,1,1,10,0,1,1,1,0,0,1.0,0,0,1
aws-iot-samples-util@1.0.0,0,0,1,0,0,1,1,20,0,0,0,1,0,0,1.0,0,0,1
openai-realtime-console-plugin@1.1.1,0,0,1,120,0,1,1,30,0,1,1,1,0,0,1.0,0,0,1
epic-visualizations@1.0.0,0,0,1,0,0,1,0,19,0,0,0,1,0,0,1.0,0,0,1
nano-css@5.6.2,8,29,1,34,1,1,72,8,0,0,0,1,0,0,1.0,0,0,1
syntax-dynamic-import@10.0.0,1,1,1,3,0,1,1,21,0,0,0,1,0,0,1.0,0,0,1
